,Dtype,percent_missing,cardinality,preprocess_action,preprocess_comment,new_feature_name,new_feature_logic,Categorical class,embedding
CASE_NUMBER,object,0.0,0.0,Drop column,"High Cardinality, threshold 80.0% of total",,,,
CASE_STATUS,object,0.0,99.99745503362537,Pop column into a separate list,Target feature,,,Categorical,Standardized random
RECEIVED_DATE,datetime64[ns],0.0,99.89756510342107,Drop column,Feature engineering,PROCESSING_DAYS,days(DECISION_DATE-RECEIVED_DATE),,
DECISION_DATE,datetime64[ns],0.0,99.9440107397581,Drop column,Feature engineering,PROCESSING_DAYS,days(DECISION_DATE-RECEIVED_DATE),,
ORIGINAL_CERT_DATE,datetime64[ns],98.16507924389049,99.92237852557373,Drop column,missing values>=40.0% of total,,,,
VISA_CLASS,object,0.0,99.99745503362537,,,,,Categorical,Standardized random
JOB_TITLE,object,0.0,68.93804915602553,Drop column,"High Cardinality, threshold 80.0% of total",,,,
SOC_CODE,object,0.0,99.56162954196968,Drop column,Feature engineering,"SOC_CODE_2,SOC_CODE_4",SOC_CODE.split('-'),Categorical,Standardized random
SOC_TITLE,object,0.0,99.59662282962087,,,,,Categorical,Standardized random
FULL_TIME_POSITION,object,0.0,99.99872751681268,,,,,Binary,Standardized random
BEGIN_DATE,datetime64[ns],0.0,99.77922416700069,Drop column,Feature engineering,VALIDITY_DAYS,days(END_DATE-BEGIN_DATE),,
END_DATE,datetime64[ns],0.0,99.22823894689292,Drop column,Feature engineering,VALIDITY_DAYS,days(END_DATE-BEGIN_DATE),,
TOTAL_WORKER_POSITIONS,int64,0.0,99.97264161147271,,,,,,
NEW_EMPLOYMENT,int64,0.0,99.97391409466002,,,,,,
CONTINUED_EMPLOYMENT,int64,0.0,99.98854765131416,,,,,,
CHANGE_PREVIOUS_EMPLOYMENT,int64,0.0,99.9923651008761,,,,,,
NEW_CONCURRENT_EMPLOYMENT,int64,0.0,99.99618255043805,,,,,,
CHANGE_EMPLOYER,int64,0.0,99.99109261768879,,,,,,
AMENDED_PETITION,int64,0.0,99.9923651008761,,,,,,
EMPLOYER_NAME,object,0.0006362415936579438,83.25412125492292,,,,,Categorical,"Standardized random for CONCAT(EMPLOYER_NAME,EMPLOYER_STATE)"
TRADE_NAME_DBA,object,85.36389837949267,97.40922423062486,Drop column,Not Useful,,,,
EMPLOYER_ADDRESS1,object,0.0,84.80018832751172,Drop column,Not Useful,,,,
EMPLOYER_ADDRESS2,object,54.490275047240935,96.80097726708786,Drop column,Not Useful,,,,
EMPLOYER_CITY,object,0.0,97.11973430551049,Drop column,Not Useful,,,,
EMPLOYER_STATE,object,0.0,99.96500671234881,Drop column,Not Useful,,,,
EMPLOYER_POSTAL_CODE,object,0.0,96.27416922753908,,,,,Categorical,Standardized random
EMPLOYER_COUNTRY,object,0.0,99.99872751681268,Drop column,Not Useful,USA_YN,IF EMPLOYER_COUNTRY==USA THEN Y ELSE N END,Binary,Standardized random
EMPLOYER_PROVINCE,object,91.01626869754983,99.93001342469762,Drop column,Not Useful,,,,
EMPLOYER_PHONE,int64,0.0,85.26464469088202,Drop column,Not Useful,,,,
EMPLOYER_PHONE_EXT,float64,92.9593505245812,99.73341477225732,Drop column,Not Useful,,,,
NAICS_CODE,int64,0.0,99.07999465557062,,,,,Categorical,Standardized random
EMPLOYER_POC_LAST_NAME,object,0.0012724831873158877,89.12472243960477,Drop column,Not Useful,,,,
EMPLOYER_POC_FIRST_NAME,object,0.007634899123895325,93.54151158277821,Drop column,Not Useful,,,,
EMPLOYER_POC_MIDDLE_NAME,object,82.06880316593816,99.17415841143199,Drop column,Not Useful,,,,
EMPLOYER_POC_JOB_TITLE,object,0.0,94.03014512670751,Drop column,Not Useful,,,,
EMPLOYER_POC_ADDRESS1,object,0.0,84.43371316956474,Drop column,Not Useful,,,,
EMPLOYER_POC_ADDRESS2,object,54.15243076100857,96.56938532699637,Drop column,Not Useful,,,,
EMPLOYER_POC_CITY,object,0.0,97.03066048239837,Drop column,Not Useful,,,,
EMPLOYER_POC_STATE,object,0.05217181067995139,99.9637342291615,Drop column,Not Useful,,,,
EMPLOYER_POC_POSTAL_CODE,object,0.0,96.26653432841519,Drop column,Not Useful,,,,
EMPLOYER_POC_COUNTRY,object,0.0,99.99172885928245,Drop column,Not Useful,,,,
EMPLOYER_POC_PROVINCE,object,99.81358121305823,99.97327785306636,Drop column,Not Useful,,,,
EMPLOYER_POC_PHONE,int64,0.0,85.1106742252168,Drop column,Not Useful,,,,
EMPLOYER_POC_PHONE_EXT,float64,92.5432485223289,99.611256386275,Drop column,Not Useful,,,,
EMPLOYER_POC_EMAIL,object,1.8355569977031678,84.18876015600644,Drop column,Not Useful,,,,
AGENT_REPRESENTING_EMPLOYER,object,0.0,99.99872751681268,,,,,Binary,Standardized random
AGENT_ATTORNEY_LAST_NAME,object,25.461116095003593,97.39395443237706,Drop column,Not Useful,,,,
AGENT_ATTORNEY_FIRST_NAME,object,25.461116095003593,98.14726447926807,Drop column,Not Useful,,,,
AGENT_ATTORNEY_MIDDLE_NAME,object,58.833260165550065,98.82295305173281,Drop column,Not Useful,,,,
AGENT_ATTORNEY_ADDRESS1,object,25.461116095003593,96.80097726708786,Drop column,Not Useful,,,,
AGENT_ATTORNEY_ADDRESS2,object,41.51667271096181,95.9744994369262,Drop column,Not Useful,,,,
AGENT_ATTORNEY_CITY,object,25.461116095003593,99.26577720091873,Drop column,Not Useful,,,,
AGENT_ATTORNEY_STATE,object,25.461116095003593,99.9637342291615,Drop column,Not Useful,,,,
AGENT_ATTORNEY_POSTAL_CODE,object,25.461116095003593,98.57227386383157,Drop column,Not Useful,,,,
AGENT_ATTORNEY_COUNTRY,object,25.461116095003593,99.9968187920317,Drop column,Not Useful,,,,
AGENT_ATTORNEY_PROVINCE,object,96.99184974518525,99.96118926278686,Drop column,Not Useful,,,,
AGENT_ATTORNEY_PHONE,float64,25.461116095003593,97.82787119925177,Drop column,Not Useful,,,,
AGENT_ATTORNEY_PHONE_EXT,float64,94.48887531573489,99.85239195027135,Drop column,Not Useful,,,,
AGENT_ATTORNEY_EMAIL_ADDRESS,object,25.49992683221673,95.84025246066436,Drop column,Not Useful,,,,
LAWFIRM_NAME_BUSINESS_NAME,object,25.461116095003593,97.32333161548102,Drop column,Not Useful,,,,
STATE_OF_HIGHEST_COURT,object,25.556552334052288,99.96500671234881,Drop column,Not Useful,,,,
NAME_OF_HIGHEST_STATE_COURT,object,25.562914749988867,99.19197317605442,Drop column,Not Useful,,,,
WORKSITE_WORKERS,float64,0.0012724831873158877,99.97200536987906,,,,,,
SECONDARY_ENTITY,object,0.0,99.99872751681268,,,,,Binary,Standardized random
SECONDARY_ENTITY_BUSINESS_NAME,object,71.14389876123762,90.01927812028784,Drop column,Not Useful,,,,
WORKSITE_ADDRESS1,object,0.0,61.81659699821216,Drop column,Not Useful,,,,
WORKSITE_ADDRESS2,object,74.52106914037398,94.09376928607331,Drop column,Not Useful,,,,
WORKSITE_CITY,object,0.0025449663746317753,95.3586175742653,Drop column,Not Useful,,,,
WORKSITE_COUNTY,object,0.04708187793068784,99.2027892831466,Drop column,Not Useful,,,,
WORKSITE_STATE,object,0.0,99.96437047075516,Drop column,Not Useful,,,,
WORKSITE_POSTAL_CODE,object,0.0,94.82035718603068,Drop column,Feature engineering,EMPLOYER_WORKSITE_YN,IF EMPLOYER_POSTAL_CODE==WORKSITE_POSTAL_CODE THEN Y ELSE N END,Categorical,Standardized random
WAGE_RATE_OF_PAY_FROM,float64,0.0,84.0169749257188,Drop column,Feature engineering,WAGE_RATE_OF_PAY_FROM_HR;WAGE_ABOVE_PREVAILING_HR,"if WAGE_UNIT_OF_PAY=Hour ignore, if Month then WAGE/172, if Year then WAGE/2067;WAGE_RATE_OF_PAY_FROM_HR-PREVAILING_WAGE_HR",,
WAGE_RATE_OF_PAY_TO,float64,66.39117405661278,93.61786057401717,Drop column,missing values>=40.0% of total,,,,
WAGE_UNIT_OF_PAY,object,0.0,99.9968187920317,Drop column,Not Useful,,,,
PREVAILING_WAGE,float64,0.0,92.21431161840775,Drop column,Feature engineering,PREVAILING_WAGE_HR;WAGE_ABOVE_PREVAILING_HR,"if PW_UNIT_OF_PAY=Hour ignore, if Month then WAGE/172, if Year then WAGE/2067;WAGE_RATE_OF_PAY_FROM_HR-PREVAILING_WAGE_HR",,
PW_UNIT_OF_PAY,object,0.0,99.9968187920317,Drop column,Not Useful,,,,
PW_TRACKING_NUMBER,object,99.78749530771825,99.80976376349628,Drop column,missing values>=40.0% of total,,,,
PW_WAGE_LEVEL,object,5.48631126211245,99.9968187920317,,,,,Ordinal,Standardized random in increasing order
PW_OES_YEAR,object,5.025672348304098,99.99745503362537,Drop column,Feature engineering,SURVEY_YEAR ,if OES_YN ==Y then extract year from first date of PW_OES_YEAR else PW_OTHER_YEAR,Ordinal,Standardized random in increasing order
PW_OTHER_SOURCE,object,95.18555986079033,99.99618255043805,Drop column,Feature engineering,OES_YN ,if PW_OTHER_SOURCE is not NaN then N else Y,Categorical,Standardized random
PW_OTHER_YEAR,float64,95.19001355194594,99.99427382565707,Drop column,Feature engineering,SURVEY_YEAR ,if OES_YN ==Y then extract year from first date of PW_OES_YEAR else PW_OTHER_YEAR,,
PW_SURVEY_PUBLISHER,object,95.87333702353457,99.66088323058031,Drop column,missing values>=40.0% of total,,,,
PW_SURVEY_NAME,object,95.8758819899092,99.24541746992168,Drop column,missing values>=40.0% of total,,,,
TOTAL_WORKSITE_LOCATIONS,float64,0.0012724831873158877,99.99300134246977,,,,,,
AGREE_TO_LC_STATEMENT,object,0.0,99.99936375840635,,,,,Binary,Standardized random
H-1B_DEPENDENT,object,2.1447704122209283,99.99809127521902,,,,,Binary,Standardized random
WILLFUL_VIOLATOR,object,2.1460428954082444,99.99809127521902,,,,,Binary,Standardized random
SUPPORT_H1B,object,73.25558461058833,99.99809127521902,Drop column,missing values>=40.0% of total,,,,
STATUTORY_BASIS,object,73.40192017712965,99.99745503362537,Drop column,missing values>=40.0% of total,,,,
APPENDIX_A_ATTACHED,object,99.89947382820205,99.99872751681268,Drop column,missing values>=40.0% of total,,,,
PUBLIC_DISCLOSURE,object,0.02863087171460747,99.99745503362537,,,,,Categorical,Standardized random
PREPARER_LAST_NAME,object,48.42625641808708,97.01093699299498,Drop column,missing values>=40.0% of total,,,,
PREPARER_FIRST_NAME,object,48.42625641808708,98.07155172962277,Drop column,missing values>=40.0% of total,,,,
PREPARER_MIDDLE_INITIAL,object,76.74409726861484,99.89183892907815,Drop column,missing values>=40.0% of total,,,,
PREPARER_BUSINESS_NAME,object,46.82801753481832,97.617275231751,Drop column,missing values>=40.0% of total,,,,
PREPARER_EMAIL,object,43.750516946294844,96.78189001927812,Drop column,missing values>=40.0% of total,,,,
